Id,Reputation
"14394719","15"
"14394720","1"
"14394721","1"
"14394722","1"
"14394723","1"
"14394724","1"
"14394725","11"
"14394726","1"
"14394727","31"
"14394728","1"
"14394729","1"
"14394730","61"
"14394731","1"
"14394732","1"
"14394733","1"
"14394734","1"
"14394735","1"
"14394736","1"
"14394737","1"
"14394738","1"
"14394739","151"
"14394740","1"
"14394741","1"
"14394742","1"
"14394743","1"
"14394744","1"
"14394745","101"
"14394746","1"
"14394747","3"
"14394748","1"
"14394749","1"
"14394750","1"
"14394751","1"
"14394752","1"
"14394753","1"
"14394754","1"
"14394755","13"
"14394756","21"
"14394757","1"
"14394758","1"
"14394759","39"
"14394760","1"
"14394761","1"
"14394762","15"
"14394763","1"
"14394764","1"
"14394765","13"
"14394766","1"
"14394767","1"
"14394768","1"
"14394769","1"
"14394770","1"
"14394771","1"
"14394772","21"
"14394773","1"
"14394774","1"
"14394775","1"
"14394776","1"
"14394777","57"
"14394778","11"
"14394779","11"
"14394780","11"
"14394781","11"
"14394782","1"
"14394783","1"
"14394784","1"
"14394785","1"
"14394786","1"
"14394787","1"
"14394788","1"
"14394789","1"
"14394790","1"
"14394791","1"
"14394792","1"
"14394793","1"
"14394794","1"
"14394795","1"
"14394796","1"
"14394797","1"
"14394798","1"
"14394799","1"
"14394800","1"
"14394801","3"
"14394802","1"
"14394803","1"
"14394804","1"
"14394805","1"
"14394806","1"
"14394807","1"
"14394809","1"
"14394810","1"
"14394811","1"
"14394812","1"
"14394813","1"
"14394815","1"
"14394816","1"
"14394817","1"
"14394818","1"
"14394819","5"
"14394820","1"
