,from,to,strength,AuthorRep_from,AuthorRep_to
0,7913031.0,5459839.0,120,714,257338
1,5424988.0,5459839.0,47,123570,257338
2,7624223.0,5459839.0,7,3773,257338
3,169992.0,5459839.0,22,69336,257338
4,16759116.0,5459839.0,6,6072,257338
5,8237835.0,5459839.0,24,3587,257338
6,1491895.0,5459839.0,3,660021,257338
7,1243641.0,5459839.0,22,43565,257338
8,989920.0,5459839.0,6,3673,257338
9,15585609.0,5459839.0,24,69,257338
10,52443.0,5459839.0,4,57421,257338
11,1048572.0,5459839.0,3,564955,257338
12,669576.0,5459839.0,1,12503,257338
13,6243352.0,5459839.0,1,32588,257338
14,15589009.0,5459839.0,3,25,257338
15,11264664.0,5459839.0,6,512,257338
16,295783.0,5459839.0,1,153438,257338
17,2144669.0,5459839.0,3,59560,257338
18,1377002.0,5459839.0,4,51194,257338
19,8416201.0,5459839.0,12,1108,257338
20,9513184.0,5459839.0,1,45532,257338
21,3082296.0,5459839.0,4,31318,257338
22,1440565.0,5459839.0,1,75750,257338
23,61903.0,5459839.0,10,6850,257338
24,1762224.0,5459839.0,1,35003,257338
25,1447675.0,5459839.0,1,348315,257338
26,6384776.0,5459839.0,9,1895,257338
27,16478970.0,5459839.0,9,41,257338
28,13651510.0,5459839.0,9,19,257338
29,463319.0,5459839.0,1,27274,257338
30,4642212.0,5459839.0,1,16398,257338
31,12916691.0,5459839.0,7,1380,257338
32,5483526.0,5459839.0,3,44769,257338
33,5841297.0,5459839.0,3,2358,257338
34,10035985.0,5459839.0,3,112077,257338
35,18430361.0,5459839.0,6,51,257338
36,10780861.0,5459839.0,3,4873,257338
37,740553.0,5459839.0,1,44007,257338
38,14951224.0,5459839.0,6,305,257338
39,4403732.0,5459839.0,5,17920,257338
40,3386109.0,5459839.0,3,33403,257338
41,12361700.0,5459839.0,5,10422,257338
42,351031.0,5459839.0,5,43861,257338
43,6567275.0,5459839.0,1,9665,257338
44,15350139.0,5459839.0,3,3702,257338
45,1067003.0,5459839.0,2,17271,257338
46,11877543.0,5459839.0,4,143,257338
47,14861737.0,5459839.0,1,3233,257338
48,15932713.0,5459839.0,4,25,257338
49,1577947.0,5459839.0,3,14556,257338
50,2610061.0,5459839.0,4,20769,257338
51,8461786.0,5459839.0,2,2813,257338
52,5092008.0,5459839.0,3,790,257338
53,1388292.0,5459839.0,1,14014,257338
54,11359076.0,5459839.0,2,7611,257338
55,13320076.0,5459839.0,2,521,257338
56,13615635.0,5459839.0,1,1975,257338
57,12033977.0,5459839.0,3,143,257338
58,14265015.0,5459839.0,3,35,257338
59,14800000.0,5459839.0,2,35,257338
60,14789065.0,5459839.0,1,548,257338
61,16685119.0,5459839.0,2,243,257338
62,15516221.0,5459839.0,2,23,257338
63,7826210.0,5459839.0,2,1186,257338
64,14265749.0,5459839.0,2,1092,257338
65,13048056.0,5459839.0,2,9,257338
66,12450991.0,5459839.0,2,33,257338
67,13059936.0,5459839.0,1,115,257338
68,16714587.0,5459839.0,1,3,257338
69,17109030.0,5459839.0,1,13,257338
70,17143806.0,5459839.0,1,9,257338
71,8053975.0,5459839.0,1,602,257338
72,7241287.0,5459839.0,1,684,257338
73,7913031.0,5424988.0,11,714,123570
74,5459839.0,5424988.0,1,257338,123570
75,5866580.0,5424988.0,1,115645,123570
76,3422102.0,5424988.0,2,74926,123570
77,8237835.0,5424988.0,6,3587,123570
78,523612.0,5424988.0,1,55415,123570
79,12957340.0,5424988.0,1,13624,123570
80,4746729.0,5424988.0,10,55,123570
81,2636929.0,5424988.0,1,8822,123570
82,4589579.0,5424988.0,6,384,123570
83,9952196.0,5424988.0,1,37159,123570
84,9758194.0,5424988.0,1,51608,123570
85,548225.0,5424988.0,1,708515,123570
86,1021703.0,5424988.0,1,25021,123570
87,1773798.0,5424988.0,15,19829,123570
88,298607.0,5424988.0,1,90000,123570
89,10694247.0,5424988.0,7,454,123570
90,8416201.0,5424988.0,2,1108,123570
91,7366100.0,5424988.0,1,15280,123570
92,3832970.0,5424988.0,7,552435,123570
93,9336478.0,5424988.0,1,179,123570
94,5527985.0,5424988.0,9,11429,123570
95,874188.0,5424988.0,5,156137,123570
96,10655551.0,5424988.0,8,160,123570
97,1503970.0,5424988.0,2,1283,123570
98,10426490.0,5424988.0,6,869,123570
99,256970.0,5424988.0,4,100405,123570
100,6045854.0,5424988.0,1,123,123570
101,13618871.0,5424988.0,2,1320,123570
102,11876783.0,5424988.0,1,69,123570
103,336271.0,5424988.0,3,4780,123570
104,7786446.0,5424988.0,1,1296,123570
105,2386774.0,5424988.0,2,19148,123570
106,5730279.0,5424988.0,1,5197,123570
107,2300940.0,5424988.0,3,2043,123570
108,581076.0,5424988.0,2,23785,123570
109,13068498.0,5424988.0,2,31,123570
110,14778042.0,5424988.0,1,303,123570
111,4529026.0,5424988.0,2,1106,123570
112,9138923.0,5424988.0,2,99,123570
113,10502146.0,5424988.0,1,543,123570
114,13819296.0,5424988.0,1,167,123570
115,12154444.0,5424988.0,2,118,123570
116,11993497.0,5424988.0,2,111,123570
117,1540560.0,5424988.0,1,1542,123570
118,15545101.0,5424988.0,1,47,123570
119,6695608.0,5424988.0,1,2694,123570
120,7913031.0,8416201.0,4,714,1108
121,5424988.0,8416201.0,2,123570,1108
122,8237835.0,8416201.0,2,3587,1108
123,7913031.0,8237835.0,2,714,3587
124,5424988.0,8237835.0,2,123570,3587
125,7913031.0,6018747.0,1,714,5545
126,8202589.0,4480164.0,120,5632,48734
127,4575350.0,4480164.0,6,22903,48734
128,4964822.0,4480164.0,1,13593,48734
129,15545116.0,4480164.0,1,4616,48734
130,9279246.0,4480164.0,1,193,48734
131,8607640.0,4480164.0,4,855,48734
132,1998801.0,4480164.0,1,4300,48734
133,2769917.0,4480164.0,1,3302,48734
134,15514192.0,4480164.0,1,49,48734
135,4886202.0,4480164.0,1,2152,48734
136,5999939.0,4480164.0,1,1350,48734
137,8202589.0,1998801.0,10,5632,4300
138,4480164.0,1998801.0,19,48734,4300
139,6486246.0,1998801.0,9,67,4300
140,4964822.0,1998801.0,2,13593,4300
141,8607640.0,1998801.0,1,855,4300
142,2769917.0,1998801.0,2,3302,4300
143,16002199.0,1998801.0,2,11731,4300
144,8202589.0,8607640.0,10,5632,855
145,4480164.0,8607640.0,13,48734,855
146,8202589.0,7158959.0,2,5632,5973
147,383904.0,7158959.0,1,178186,5973
148,15447026.0,7158959.0,3,243,5973
149,13415477.0,7158959.0,3,249,5973
150,10140124.0,7158959.0,1,10217,5973
151,13710015.0,7158959.0,4,2241,5973
152,15329856.0,7158959.0,3,33,5973
153,13983399.0,7158959.0,1,1323,5973
154,8202589.0,11775630.0,2,5632,39
155,13762301.0,11775630.0,1,8999,39
156,3923896.0,17702685.0,117,37650,49
157,2402272.0,17702685.0,19,136328,49
158,2410359.0,17702685.0,2,125680,49
159,15168.0,17702685.0,18,694472,49
160,3923896.0,2410359.0,31,37650,125680
161,224132.0,2410359.0,15,280270,125680
162,17702685.0,2410359.0,24,49,125680
163,584518.0,2410359.0,16,172051,125680
164,4386427.0,2410359.0,9,39504,125680
165,721269.0,2410359.0,1,172748,125680
166,2402272.0,2410359.0,4,136328,125680
167,3422102.0,2410359.0,3,74926,125680
168,2752075.0,2410359.0,3,60791,125680
169,4756299.0,2410359.0,2,29385,125680
170,6110094.0,2410359.0,12,1,125680
171,1593077.0,2410359.0,7,100645,125680
172,4593267.0,2410359.0,13,110258,125680
173,14771275.0,2410359.0,10,45,125680
174,1491895.0,2410359.0,4,660021,125680
175,523612.0,2410359.0,4,55415,125680
176,905902.0,2410359.0,4,41102,125680
177,15416.0,2410359.0,3,166765,125680
178,2684539.0,2410359.0,1,189166,125680
179,15168.0,2410359.0,10,694472,125680
180,10871073.0,2410359.0,4,41924,125680
181,17732522.0,2410359.0,4,13878,125680
182,168986.0,2410359.0,3,82195,125680
183,15381660.0,2410359.0,2,790,125680
184,2079303.0,2410359.0,4,217582,125680
185,4095792.0,2410359.0,14,184,125680
186,3899431.0,2410359.0,1,9310,125680
187,14674494.0,2410359.0,3,300,125680
188,6699433.0,2410359.0,1,28159,125680
189,140750.0,2410359.0,1,188383,125680
190,2380830.0,2410359.0,5,227043,125680
191,7582247.0,2410359.0,1,57634,125680
192,3141234.0,2410359.0,1,53241,125680
193,2472827.0,2410359.0,1,1372,125680
194,8339821.0,2410359.0,2,598,125680
195,10147399.0,2410359.0,2,22453,125680
196,5264491.0,2410359.0,1,12673,125680
197,25324.0,2410359.0,1,102924,125680
198,16406.0,2410359.0,1,109612,125680
199,14170686.0,2410359.0,1,1432,125680
200,1505939.0,2410359.0,1,134235,125680
201,15261315.0,2410359.0,1,8145,125680
202,5987.0,2410359.0,1,284135,125680
203,3161139.0,2410359.0,2,7751,125680
204,12283181.0,2410359.0,5,1156,125680
205,2173917.0,2410359.0,4,130109,125680
206,15415714.0,2410359.0,2,29,125680
207,634919.0,2410359.0,3,35382,125680
208,2282011.0,2410359.0,1,20928,125680
209,14979386.0,2410359.0,3,23,125680
210,12690718.0,2410359.0,1,1425,125680
211,6070341.0,2410359.0,1,2490,125680
212,1726779.0,2410359.0,2,2300,125680
213,770830.0,2410359.0,1,29064,125680
214,15270926.0,2410359.0,3,429,125680
215,15162879.0,2410359.0,1,1464,125680
216,12028798.0,2410359.0,3,39,125680
217,995714.0,2410359.0,3,31646,125680
218,15612483.0,2410359.0,1,75,125680
219,10686048.0,2410359.0,2,7099,125680
220,11336762.0,2410359.0,2,6646,125680
221,8535456.0,2410359.0,1,801,125680
222,7956882.0,2410359.0,2,89,125680
223,12571241.0,2410359.0,1,1248,125680
224,337149.0,2410359.0,2,10009,125680
225,243563.0,2410359.0,1,10350,125680
226,13094525.0,2410359.0,1,122,125680
227,16401883.0,2410359.0,1,35,125680
228,15871414.0,2410359.0,1,25,125680
229,293023.0,2410359.0,1,3059,125680
230,1143850.0,2410359.0,1,9917,125680
231,3923896.0,2402272.0,12,37650,136328
232,17702685.0,2402272.0,7,49,136328
233,584518.0,2402272.0,3,172051,136328
234,4386427.0,2402272.0,4,39504,136328
235,7624223.0,2402272.0,50,3773,136328
236,102937.0,2402272.0,7,173088,136328
237,363751.0,2402272.0,11,72989,136328
238,1813349.0,2402272.0,2,633,136328
239,4756299.0,2402272.0,33,29385,136328
240,6110094.0,2402272.0,11,1,136328
241,4989451.0,2402272.0,1,10631,136328
242,1593077.0,2402272.0,5,100645,136328
243,1491895.0,2402272.0,3,660021,136328
244,298225.0,2402272.0,3,166396,136328
245,559737.0,2402272.0,4,31137,136328
246,4664415.0,2402272.0,2,9503,136328
247,15168.0,2402272.0,2,694472,136328
248,3387716.0,2402272.0,3,4879,136328
