,AuthorId,AuthorRep
0,14920717,11
1,7180194,159
2,14549502,123
3,12862963,67
4,14922805,1
5,11385973,51
6,13499724,11
7,9423009,2406
8,14924482,31
9,14894525,121
10,5022249,6930
11,1332914,1205
12,3477712,3873
13,13827753,426
14,14811913,21
15,14922481,111
16,14817235,73
17,4503321,129
18,1945363,4347
19,14817973,13
20,14780460,63
21,9045600,197
22,14927986,59
23,10456525,667
24,5457853,12820
25,9474198,292
26,1103530,1607
27,14928628,71
28,729415,3698
29,6647188,1615
30,14402925,333
31,11715868,503
32,8129826,175
33,11232893,813
34,14869992,45
35,7312530,199
36,599184,21407
37,326389,47918
38,4439771,1
39,2292791,8690
40,12425004,636
41,719001,2167
42,11105576,66
43,3053548,408
44,663011,15673
45,14067181,187
46,9381966,757
47,5568409,714
48,13454435,23
49,13454124,203
50,14933947,33
51,14747587,33
52,3520971,57
53,10800169,308
54,14569849,39
55,13465873,111
56,14935456,101
57,14451841,61
58,889030,3543
59,6781992,57
60,14925666,35
61,3943632,6104
62,9918724,279
63,5239746,57
64,14937312,37
65,14582553,31
66,5445432,501
67,9658099,53
68,13940311,620
69,9721764,187
71,14939802,33
72,14902993,23
73,1114130,2248
74,633961,23448
75,2349082,3559
76,14940783,53
77,3826115,1393
78,10963228,459
79,14856292,11
80,651174,100320
81,14657325,289
82,10860402,808
83,14584571,1
84,14943547,141
85,1593077,100645
86,14944321,1
87,8316183,1087
88,10306863,666
89,11714926,55
90,12819676,13
91,13576862,63
92,9868785,2842
93,13075742,131
94,11279377,313
95,14861689,73
96,4279155,12636
97,13400022,23
98,1163717,790
99,9901952,65
100,14812676,132
101,12894626,1045
102,11822914,375
103,10823943,51
104,14700400,1
105,2158271,1975
106,13665717,105
107,11297998,187
108,11752083,699
109,14859215,23
110,14951571,11
111,13651379,3
112,3795255,31
113,309366,1619
114,9193539,350
115,14952606,13
116,14727854,3
117,14952537,17
118,14701706,1336
119,2558350,141
120,8775514,77
121,11801298,739
122,5964557,35633
123,14698348,111
124,12300352,111
125,5685622,87
126,13326825,139
127,13536734,25
128,293680,20807
129,7557079,5249
130,14202293,623
131,8760028,1163
132,7624223,3773
133,2126088,2437
134,14784710,65
135,14897220,79
136,11176682,391
137,9734108,97
138,8124931,1518
139,5993479,5619
140,11257081,143
141,14461365,97
142,14775102,11
143,237681,20457
144,4003821,281
145,12154444,118
146,14770280,104
147,14739067,346
148,7802894,1083
149,4835204,2802
150,11815436,45
151,998495,6862
152,14747065,71
153,6629491,37
154,3351754,505
155,10426490,869
156,14334185,107
157,13471565,155
158,14963194,53
159,13615331,1
160,4337240,5983
161,972501,4282
162,4756106,7486
163,4512005,4279
164,13958535,119
166,14402024,39
167,10563627,36375
168,14872435,89
169,736922,555
170,11676138,91
171,12373446,977
172,14543636,29
173,14965919,113
174,9578961,864
175,14397404,1
176,14968664,11
177,9109774,79
178,13606387,41
179,8830200,99
180,10262805,13049
181,14539198,13
182,12146388,1256
183,14215835,33
184,13732909,25
185,13892424,49
186,14904677,11
187,14971941,13
188,9127991,436
189,14564922,11
190,5437363,1705
191,298288,14705
192,14972689,9
193,2402966,1358
194,14952944,41
195,7346633,1318
196,8740322,870
197,12673060,37
198,13957119,1
200,12283181,1156
201,14584767,19
202,13008861,23
203,14548310,335
204,3577446,5692
205,8862974,65
206,8867841,641
207,3868266,371
208,13341284,1105
209,14977550,21
210,4102271,61
211,7736755,3
212,9518791,57
213,4461271,1819
214,14979386,23
215,1277488,2201
216,14979534,161
217,13036362,49
218,14980049,1
219,13662339,3597
220,169992,69336
221,14980990,35
222,14981129,61
223,14981173,3
224,9228867,25
225,14981572,7
226,10574940,812
227,7683947,5
228,8676371,2562
229,14982116,39
230,10037034,952
231,9331903,859
232,12083604,25
233,253075,33
234,14984034,3
235,13899010,553
236,12190920,99
237,14665446,9
238,11755515,1011
239,2807735,406
240,13822729,113
241,1505259,9538
242,976691,9222
243,13424453,85
244,8751872,391
245,14988810,217
246,13411438,355
247,14990031,1
248,14990004,23
249,7635833,83
250,14985393,59
251,1395810,1103
252,8395210,55
253,11064578,168
254,2261243,776
255,9121975,61
256,14992071,23
257,13379164,33
258,14959640,117
259,12464777,61
260,13095591,804
261,648026,6367
262,379028,10252
263,14315323,387
264,6556658,1377
265,4009167,1574
266,4069898,474
267,9341540,1494
268,12256830,429
269,6946868,23
270,14959129,65
271,63898,27905
272,6170037,46
273,6320349,69
274,13034631,57
275,2679327,1287
276,14930992,9
277,1655895,297
278,12354205,231
279,14971191,81
280,2635863,8395
281,10128619,21079
282,9671847,19
283,14730012,57
284,15001636,1
285,15001956,1
286,6524329,2073
287,14999831,61
288,11043155,93
289,4625622,4820
290,9877403,249
291,8238810,531
292,8822337,12254
293,14950391,53
294,14525238,95
295,12737399,174
296,9538965,51
297,14931339,197
298,13821011,29
299,1625812,187
300,13908398,331
301,5990938,2592
302,12535270,17
303,14235089,11
304,15006045,13
305,6315290,2024
306,14729905,31
307,15006878,19
308,15000767,1
309,14991699,21
310,14958588,49
311,14279667,19
312,4939097,748
313,14839087,63
315,15008796,25
316,14941604,11
317,8276770,99
318,15009008,33
319,14586761,39
320,13108434,33
321,14533346,71
322,12426025,375
323,4929733,103
324,12585735,21
325,10779603,67
326,10651655,761
327,15010797,1
328,10215126,49
329,14452068,49
330,580618,925
331,14790595,37
332,14697413,265
333,14558305,37
334,2235673,2289
335,14684140,644
336,2387370,10044
337,11970565,49
338,1879838,1402
339,15011841,1
340,15013850,33
341,7071069,1304
342,11225412,87
343,1592380,29771
344,14463983,5
345,15014606,179
346,6291285,381
347,15014873,1
348,2152012,151
349,11188233,31
350,14920130,79
351,3693492,107
352,12781614,23
353,2141345,761
354,2040352,287
355,14712493,15
356,3181365,5410
357,8206216,747
358,15016324,79
359,1067943,12580
361,841258,157
362,7288928,155
363,6921538,59
364,12036138,1733
365,14886177,35
366,15018020,13
367,12116796,351
368,5704763,504
369,11774240,486
370,2628868,12405
371,15019085,77
372,5783745,25426
373,10946386,150
374,14513812,355
375,15019726,41
376,13717062,31
377,14650226,11
378,4870273,1972
379,13463317,21
380,1103028,447
381,15021734,1
382,14574691,53
383,14660412,129
384,5894742,67
385,15022589,41
386,11001615,267
387,14045132,25
388,152935,779
389,13715218,35
390,13999386,1213
391,15024238,21
392,9918922,5
393,14222845,111
394,14574866,39
395,14088083,65
396,6801913,13
397,10489047,564
398,14334150,151
399,3354748,29
400,255966,8520
401,2738403,33
402,14548173,13
403,7462469,233
404,8936456,798
405,186148,2708
406,13847501,35
407,11688611,147
408,9581909,775
409,15031397,241
410,12092252,729
411,13311198,500
412,6721564,99
413,14953740,127
414,4860775,616
415,14881718,191
416,12036706,550
417,15034865,145
418,15018319,29
419,15034973,13
420,2646505,4886
421,2409495,1087
422,10963766,601
423,8737224,1863
424,14625753,267
425,12977605,89
426,11666863,123
427,14286921,13
428,15015117,11
429,14891758,215
430,14741935,43
431,5053483,300
432,2568434,745
433,15039490,1
434,11810306,125
435,6340370,43
436,13068498,31
437,10353952,475
438,88400,6096
439,10201641,292
440,14952121,61
441,15042564,37
442,12581323,2011
443,2972,19032
444,979898,2759
445,13320076,521
446,15043769,43
447,13096448,513
448,15043799,3
449,4542217,3103
450,4557882,1085
451,10601311,31
452,13048056,9
453,11748145,111
454,14948678,1
455,9452057,179
456,6928914,433
457,14813636,21
458,11069078,345
459,295802,1396
460,15016057,9
461,14590817,21
462,7077532,3998
463,439621,9046
464,14952200,11
465,13318273,25
466,9543351,119
467,11771638,3
468,13415477,249
469,14144772,13
470,12285078,157
471,15015135,31
472,11947949,13
473,15053553,13
474,11285603,186
475,11332290,609
476,14964450,55
477,12287144,21
478,3085617,586
479,11968226,997
480,10430194,143
481,7741103,27
482,13988650,188
483,12507977,151
484,14665915,13
485,14922541,173
486,10308626,27
487,14970886,29
488,12249903,445
489,8747020,175
490,14246689,23
491,13334309,150
492,14913109,94
493,12603672,65
494,14148559,144
495,15055385,97
496,14133083,443
497,11346858,3
498,13178529,450
